castskl_id,catskl_label,company,state
110,CIO-SP3 Small Business,EXCIDION INC.,VA
110,CIO-SP3 Small Business,"EXECUTECH STRATEGIC CONSULTING, LLC",VA
110,CIO-SP3 Small Business,"FAVOR TECHCONSULTING, LLC",VA
110,CIO-SP3 Small Business,"FEI-NHA, LLC",MD
110,CIO-SP3 Small Business,"FEI.COM, INC.",MD
110,CIO-SP3 Small Business,"FOCUSED MANAGEMENT, INC.",VA
110,CIO-SP3 Small Business,"FOXHOLE TECHNOLOGY, INC.",VA
110,CIO-SP3 Small Business,"FULCRUM IT SERVICES, LLC",VA
110,CIO-SP3 Small Business,FULL CIRCLE COMPUTING INC,PA
110,CIO-SP3 Small Business,FUTREND TECHNOLOGY INC,VA
110,CIO-SP3 Small Business,"FWG SOLUTIONS, INC.",DC
110,CIO-SP3 Small Business,GENESIS CONCEPTS & CONSULTANTS LLC,TX
110,CIO-SP3 Small Business,"GLOTECH, INC.",M
110,CIO-SP3 Small Business,GOVERNMENTCIO LLC,DC
110,CIO-SP3 Small Business,"GROVE RESOURCE SOLUTIONS, INC.",MD
110,CIO-SP3 Small Business,GTANGIBLE CORPORATION,VA
110,CIO-SP3 Small Business,GUNNISON CONSULTING GROUP INC,VA
110,CIO-SP3 Small Business,"HALFAKER AND ASSOCIATES, LLC",VA
110,CIO-SP3 Small Business,HEALTH INNOVATION AND TECHNOLOGY VENTURE,VA
110,CIO-SP3 Small Business,"HEARTLAND-ENERGETICS JOINT VENTURE, LLC",VA
110,CIO-SP3 Small Business,HENDALL/BSG JV COMPANY,MD
110,CIO-SP3 Small Business,"HIGHLIGHT TECHNOLOGIES, LLC",VA
110,CIO-SP3 Small Business,"HIGHPOINT DIGITAL, INC.",IN
110,CIO-SP3 Small Business,"HMS TECHNOLOGIES, INC.",WV
110,CIO-SP3 Small Business,"ICS-TSPI UNITED, INC.",VA
110,CIO-SP3 Small Business,"IDEAL SYSTEM SOLUTIONS, INC.",MN
110,CIO-SP3 Small Business,"IDEATION SOLUTIONS JV, LLC",VA
110,CIO-SP3 Small Business,IMPACT INNOVATIONS SYSTEMS INC.,VA
110,CIO-SP3 Small Business,INADEV CORPORATION,VA
110,CIO-SP3 Small Business,"INALAB CONSULTING, INC",VA
110,CIO-SP3 Small Business,"INCENTIVE TECHNOLOGY GROUP, LLC",VA
110,CIO-SP3 Small Business,INDEX ANALYTICS LLC,MD
110,CIO-SP3 Small Business,"INFORMATICS APPLICATIONS GROUP, INC., THE",VA
110,CIO-SP3 Small Business,"INFORMATION INNOVATORS, INC.",VA
110,CIO-SP3 Small Business,"INFORMATION MANAGEMENT SERVICES, INC.",MD
110,CIO-SP3 Small Business,INFORMATION TECHNOLOGY STRATEGIES LLC,VA
110,CIO-SP3 Small Business,INNOVATE INC,VA
110,CIO-SP3 Small Business,"INNOVATIVE MANAGEMENT CONCEPTS, INC.",VA
110,CIO-SP3 Small Business,INODE INK CORPORATION,CO
110,CIO-SP3 Small Business,"INTELLECT SOLUTIONS, LLC",VA
110,CIO-SP3 Small Business,INTEPROS FEDERAL INCORPORATED,DC
110,CIO-SP3 Small Business,"INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES, LLC",VA
110,CIO-SP3 Small Business,"INUTEQ, LLC",MD
110,CIO-SP3 Small Business,IPKEYS TECHNOLOGIES LLC,VA
110,CIO-SP3 Small Business,"ISSTSPI, LLC",VA
110,CIO-SP3 Small Business,"JHC TECHNOLOGY, INC.",MD
110,CIO-SP3 Small Business,KARTHIK CONSULTING LLC,VA
110,CIO-SP3 Small Business,"KCI-ACUITY, LLC",VA
110,CIO-SP3 Small Business,"KE`AKI TECHNOLOGIES, LLC",FL
110,CIO-SP3 Small Business,LCG SYSTEMS LLC,MD
110,CIO-SP3 Small Business,"LINK SOLUTIONS, INC.",VA
110,CIO-SP3 Small Business,"LINTECH GLOBAL, INC.",MI
110,CIO-SP3 Small Business,"LONGVIEW INTERNATIONAL TECHNOLOGY SOLUTIONS, INC.",VA
110,CIO-SP3 Small Business,"LUMBEE TRIBE ENTERPRISES, LLC",NC
110,CIO-SP3 Small Business,"MALIK CONSULTING, INC.",GA
110,CIO-SP3 Small Business,MANSAI CORPORATION,MD
110,CIO-SP3 Small Business,MASAI TECHNOLOGIES CORPORATION,MD
110,CIO-SP3 Small Business,"MEDICAL SCIENCE & COMPUTING, LLC",MD
110,CIO-SP3 Small Business,MERITIT LLC,VA
110,CIO-SP3 Small Business,MICROHEALTH LLC,VA
110,CIO-SP3 Small Business,"MIDDLE BAY SOLUTIONS II, LLC",AL
110,CIO-SP3 Small Business,"MINDPETAL SOFTWARE SOLUTIONS, INC AND LINKVISUM CONSULTING GROUP, INC",MD
110,CIO-SP3 Small Business,"MISSION1ST GROUP, INC",VA
110,CIO-SP3 Small Business,MUTATIO INC.,VA
110,CIO-SP3 Small Business,NELSON ENTERPRISE TECHNOLOGY SERVICES LLC,VA
110,CIO-SP3 Small Business,"NES ASSOCIATES, LLC",VA
110,CIO-SP3 Small Business,NET ESOLUTIONS CORPORATION,VA
